Adrar ;1000;Adrar
Adrar ;1001;Adgha
Adrar ;1100;Zaouiet Sidi Abdelkader  
Adrar ;1102;Oudgha
Adrar ;1103;Lahmeur
Adrar ;1120;Tamentit
Adrar ;1130;Tsabit
Adrar ;1141;Sebaa
Adrar ;1150;Bouda Bendraou   
Adrar ;1161;Ouled Ahmed   
Adrar ;1162;Melouka
Adrar ;1200;Reggane
Adrar ;1201;Bahou
Adrar ;1203;Sali
Adrar ;1220;Bordj-Badji-Mokhtar
Adrar ;1230;Timiaouine
Adrar ;1240;Zaouiet Kounta   
Adrar ;1241;Bouali
Adrar ;1242;Tittaouine Lakhras   
Adrar ;1243;Tiouririne
Adrar ;1300;Aoulef
Adrar ;1301;Aoulef Cheurfa   
Adrar ;1302;Akabli
Adrar ;1320;Tit
Adrar ;1400;Timimoun
Adrar ;1410;Ouled Aissa   
Adrar ;1415;Ouled Said   
Adrar ;1420;Charouine
Adrar ;1430;Zaouiedt Debbagh   
Adrar ;1440;Tiberghamine
Adrar ;1441;Badriane
Adrar ;1442;M'ghiden
Adrar ;1443;Metarfa
Adrar ;1444;Ouled Abbou
Chlef ;2000;Chlef
Chlef ;2100;Oued Fodda   
Chlef ;2101;Bir Saf Saf  
Chlef ;2110;Beni Rached   
Chlef ;2120;Ouled Abbes   
Chlef ;2130;El Karimia   
Chlef ;2131;Chouchaoua
Chlef ;2132;Souk El Had  
Chlef ;2140;Harchoun
Chlef ;2160;Oum Drou   
Chlef ;2170;Chettia
Chlef ;2180;Ouled Fares   
Chlef ;2181;Razim Maamar   
Chlef ;2182;Kherrara
Chlef ;2183;Meddina
Chlef ;2184;Haouch el Ghaba  
Chlef ;2200;Tenes
Chlef ;2012;Taougrite
Chlef ;2201;El Kalaa Bou   Hallou    
Chlef ;2202;Reggoun
Chlef ;2210;Sidi Akkacha   
Chlef ;2215;Abou el Hassan  
Chlef ;2220;Talassa
Chlef ;2225;Souk el Bagar  
Chlef ;2230;Bouzeghaia
Chlef ;2231;Heumis Ain Beida  
Chlef ;2235;Tadhena
Chlef ;2240;Beni Haoua   
Chlef ;2241;Bissa
Chlef ;2245;Breira
Chlef ;2255;El Marsa   
Chlef ;2256;Guelta
Chlef ;2257;Baach
Chlef ;2265;Zeboudja
Chlef ;2266;Main Sinfita   
Chlef ;2270;Benaira
Chlef ;2300;Boukadir
Chlef ;2301;El Athmania   
Chlef ;2302;Ouled Ziad   
Chlef ;2310;Oued Sly   
Chlef ;2320;Sobha
Chlef ;2321;Ouled Fetti   
Chlef ;2330;Ain Merane   
Chlef ;2331;Ain Serdoune   
